"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
6,5,90,3,1,1,2,NA,NA,5,10,8,6,7,8,4,10,2,2,NA,2,NA,6,1,"6666",1,"6666","EST","000",2,37,1,NA,4,610,16,8,NA,2018,1,NA,1,4,1,35,9,9,40,1,40,18,4,3322,2,2,NA,NA,3,"North",2872,344
20,5,60,1,2,NA,2,NA,NA,5,9,7,6,7,9,1,8,3,1,5,NA,NA,1,2,"RU",2,"RU","RUS","000",1,72,1,NA,2,720,17,6,NA,2017,2,100,NA,4,1,100,5,3,40,1,40,25,4,1221,2,2,NA,NA,2,"North",2115,1058
22,4,180,1,2,NA,1,6,2,8,5,3,1,3,8,1,8,4,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",1,57,1,NA,2,313,11,1,NA,NA,2,3,NA,1,1,2,9,9,40,1,55,46,4,1420,2,2,NA,NA,3,"North",1047,262
26,5,180,4,1,1,1,1,3,5,5,2,5,5,4,0,5,3,1,3,NA,NA,8,1,"6666",1,"6666","RUS","EST",2,56,NA,5,3,710,15,1,NA,NA,1,NA,1,3,2,NA,6,2,36,1,40,85,2,2330,2,2,NA,NA,1,"Northeastern",1044,1044
126,5,300,4,2,NA,2,NA,NA,NA,4,NA,2,4,7,0,4,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,53,NA,4,4,213,8,5,NA,2000,1,NA,1,2,2,NA,7,0,45,1,45,1,4,6121,1,1,1,2,3,"Southern",98,98
148,5,360,2,NA,NA,2,NA,NA,NA,5,1,6,2,3,0,5,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","RUS",1,35,1,NA,1,423,14,1,NA,NA,1,NA,1,3,1,3,8,8,40,1,40,70,2,2512,1,2,NA,NA,3,"North",4589.29741560462,1530
151,5,60,2,1,1,1,1,2,8,5,5,3,6,8,3,8,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,75,NA,5,1,313,11,6,NA,2000,1,NA,1,3,2,NA,7,4,40,1,40,52,4,4321,2,2,NA,NA,2,"North",663,663
174,2,NA,3,3,NA,NA,NA,NA,5,7,4,5,7,6,2,6,4,1,3,NA,NA,8,2,"RU",2,"RU","RUS","000",2,72,1,NA,3,313,11,8,NA,2013,1,NA,1,2,2,NA,5,5,30,1,30,47,1,9112,2,1,1,2,2,"North",981,279
185,5,120,2,2,NA,2,NA,NA,8,5,5,4,5,7,5,6,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,28,3,6,3,213,12,1,NA,NA,1,NA,1,4,2,NA,8,1,40,1,48,25,4,7233,2,2,NA,NA,3,"Western",2151,717
191,5,240,3,2,NA,2,NA,NA,5,6,5,5,NA,8,4,7,4,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,28,3,6,4,313,12,1,NA,NA,1,NA,1,3,1,5,10,7,40,1,40,16,4,1324,2,1,2,1,3,"Southern",1807,452
291,1,NA,3,1,2,1,2,2,NA,10,3,5,NA,8,9,10,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,85,NA,5,2,313,10,6,NA,1993,1,NA,1,3,2,NA,0,0,40,1,40,56,1,9412,2,2,NA,NA,3,"North",440,440
307,5,90,3,3,NA,1,4,2,3,9,7,6,8,8,6,8,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,18,NA,6,3,213,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Southern",2209,0
390,3,NA,3,3,NA,1,2,3,2,4,2,4,0,3,1,7,4,1,3,NA,NA,8,2,"6500",1,"6666","RUS","000",2,47,1,NA,1,323,11,1,NA,NA,1,NA,2,1,2,NA,1,1,40,1,40,56,1,9412,2,1,2,2,2,"North",1276,425
423,5,530,3,1,1,1,1,2,6,9,8,7,8,9,7,9,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,59,1,NA,3,323,11,1,NA,NA,1,NA,1,2,2,NA,8,6,40,1,40,46,4,3313,2,2,NA,NA,2,"Central",2035,1018
427,5,60,3,1,5,1,1,2,4,8,6,5,8,8,7,7,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,34,3,6,4,321,13,1,NA,NA,1,NA,1,1,2,NA,7,1,40,1,40,41,4,7111,2,2,NA,NA,3,"Western",1379,460
497,4,120,3,1,NA,2,NA,NA,5,3,3,2,1,2,2,3,4,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,47,NA,4,2,323,16,1,NA,NA,1,NA,1,1,2,NA,10,7,20,1,45,56,4,5120,2,2,NA,NA,2,"North",589,196
518,5,270,3,1,2,1,2,3,8,8,5,7,8,10,4,9,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","RUS",2,58,1,NA,1,423,14,6,NA,2013,1,NA,1,4,2,NA,5,5,40,1,44,84,1,4416,2,2,NA,NA,1,"Northeastern",1298,433
611,5,180,1,1,4,2,NA,NA,6,7,3,3,5,7,5,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,63,NA,4,4,720,16,6,NA,2015,1,NA,1,2,2,NA,10,7,168,1,168,58,4,4120,2,2,NA,NA,2,"North",850,850
628,5,480,3,1,1,1,1,2,5,7,6,5,5,7,4,8,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,38,NA,4,1,423,12,1,NA,NA,1,NA,1,2,2,NA,3,0,40,1,40,46,4,3322,2,2,NA,NA,3,"North",2250,1125
650,5,180,3,1,2,1,2,2,5,7,5,7,7,5,4,7,2,2,NA,2,NA,4,1,"6666",1,"6666","RUS","000",1,51,1,NA,1,323,11,1,NA,NA,1,NA,1,3,2,NA,7,1,40,1,40,45,4,7231,2,2,NA,NA,2,"North",2398,600
751,5,300,2,3,NA,2,NA,NA,7,6,8,6,8,5,3,6,2,1,3,NA,NA,3,2,"RU",2,"BY","RUS","000",1,39,1,NA,1,620,18,1,NA,NA,1,NA,2,1,1,2,10,7,10,1,10,68,4,3334,2,1,1,2,3,"North",2144,1072
774,2,NA,4,2,NA,2,NA,NA,9,4,7,3,4,5,7,5,2,2,NA,2,NA,4,1,"6666",1,"6666","EST","000",1,37,NA,4,5,313,12,1,NA,NA,1,NA,1,1,2,NA,8,3,40,1,45,41,4,7115,2,1,2,2,3,"Southern",1706,1706
883,5,120,2,3,NA,2,NA,NA,5,8,7,7,6,6,4,8,4,2,NA,2,NA,0,2,"RU",2,"RU","RUS","000",1,26,1,NA,1,610,14,1,NA,NA,2,1,NA,1,2,NA,10,10,48,1,48,90,5,2651,1,1,1,2,3,"Northeastern",898,449
891,5,180,2,1,3,1,3,2,5,7,7,5,7,8,7,7,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,39,3,6,1,610,16,1,NA,NA,1,NA,1,3,1,30,7,7,40,1,45,47,4,1420,2,2,NA,NA,3,"North",1602,400
958,2,NA,3,NA,NA,2,NA,NA,5,7,5,3,5,6,2,7,3,2,NA,2,NA,4,1,"6666",2,"RU","RUS","EST",2,63,1,NA,3,313,10,6,NA,NA,1,NA,1,3,2,NA,0,0,40,1,40,15,4,9629,2,1,2,2,3,"Southern",1682,841
1015,5,150,4,2,NA,2,NA,NA,NA,7,6,5,6,8,8,8,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,22,NA,6,4,323,13,1,NA,NA,1,NA,1,2,2,NA,2,0,40,1,50,41,4,7111,1,2,NA,NA,3,"Western",1571,1571
1039,4,30,2,1,1,1,1,2,8,8,4,4,8,7,NA,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","RUS",1,63,1,NA,3,423,17,1,NA,NA,1,NA,1,3,2,NA,2,1,44,1,46,47,4,5223,2,2,NA,NA,2,"Northeastern",1302,434
1061,5,720,2,2,NA,2,NA,NA,7,7,7,6,6,9,8,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,21,NA,6,3,313,15,2,NA,2018,1,NA,2,1,2,NA,10,8,40,1,50,2,4,6210,2,2,NA,NA,3,"Western",2278,0
1107,1,NA,1,2,NA,1,6,2,8,2,9,5,9,8,7,5,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,71,NA,6,1,313,11,6,NA,2018,1,NA,2,2,2,NA,2,2,40,1,40,71,3,3112,2,1,2,2,2,"North",211,211
1121,5,240,1,1,3,2,NA,NA,8,9,8,6,9,9,4,8,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",1,49,NA,4,2,720,18,1,NA,NA,1,NA,1,1,1,1,9,2,40,1,30,82,1,1330,1,1,2,1,3,"North",960,960
1148,5,210,1,1,2,1,6,2,3,6,8,9,9,9,7,9,3,2,NA,2,NA,4,1,"6666",1,"6666","EST","000",1,79,1,NA,1,313,11,6,NA,2004,1,NA,1,4,2,NA,0,0,40,1,40,49,4,8331,2,2,NA,NA,2,"Western",1001,500
1265,5,120,3,3,NA,2,NA,NA,NA,1,NA,NA,NA,4,4,5,5,1,4,NA,NA,10,2,"6500",2,"RU","RUS","000",2,70,NA,4,1,213,10,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,"North",417,417
1464,5,30,4,1,2,2,NA,NA,5,8,8,5,5,9,3,10,2,2,NA,2,NA,0,1,"6666",1,"6666","RUS","EST",2,43,1,NA,3,423,14,1,NA,NA,1,NA,1,3,2,NA,7,0,40,1,40,13,4,8153,2,1,2,2,3,"Central",3932.94180273534,1311
1487,5,480,3,2,NA,2,NA,NA,5,5,4,3,4,5,3,7,3,2,NA,2,NA,10,1,"6666",1,"6666","EST","000",2,59,1,NA,4,620,16,1,NA,NA,2,8,NA,1,1,8,10,10,NA,2,65,55,4,1411,2,2,NA,NA,2,"Western",2108,1054
1497,2,NA,3,1,4,2,NA,NA,NA,5,3,NA,NA,8,5,5,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,48,NA,6,5,323,11,1,NA,NA,1,NA,2,1,2,NA,10,3,35,1,35,47,4,5223,2,1,1,1,3,"Southern",442,442
1508,5,60,1,1,3,1,6,3,10,8,5,0,3,6,0,0,5,2,NA,2,NA,0,1,"6666",1,"6666","EST","888",1,65,NA,1,3,423,12,6,NA,2015,1,NA,3,1,2,NA,5,5,NA,2,50,56,4,5132,2,1,2,2,2,"North",206,206
1560,5,120,3,1,NA,2,NA,NA,5,8,6,6,4,4,4,8,2,2,NA,2,NA,4,1,"6666",1,"6666","RUS","000",1,35,1,NA,1,610,16,1,NA,NA,1,NA,1,2,1,3,8,3,40,1,40,25,4,2144,2,1,2,1,3,"North",1342,671
1572,5,480,3,1,10,1,1,3,6,8,5,5,5,5,4,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,65,1,NA,4,423,14,1,NA,NA,1,NA,1,3,2,NA,8,6,40,1,40,84,1,1219,2,2,NA,NA,2,"North",2793,1396
1581,5,180,3,2,NA,2,NA,NA,5,8,0,0,0,5,2,8,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","888",2,50,3,4,3,313,11,8,NA,2008,1,NA,1,3,2,NA,8,0,40,1,84,10,4,9321,2,1,2,1,2,"Central",3379.77575910939,282
1612,5,240,3,1,4,2,NA,NA,3,6,7,6,7,8,4,7,2,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,28,NA,6,1,313,12,1,NA,NA,1,NA,2,4,1,2,3,1,40,1,45,55,4,7512,2,2,NA,NA,3,"North",670,670
1634,3,NA,3,1,2,2,NA,NA,3,7,4,3,4,3,3,7,2,2,NA,2,NA,4,1,"6666",1,"6666","EST","RUS",1,45,3,4,4,620,16,1,NA,NA,1,NA,1,3,1,23,8,5,48,1,48,1,4,1311,2,1,2,2,3,"Southern",1746,436
1669,3,NA,2,3,NA,2,NA,NA,5,5,2,0,2,5,2,10,2,1,4,NA,NA,10,2,"RU",2,"RU","RUS","000",1,59,1,NA,3,213,9,1,NA,NA,1,NA,3,1,2,NA,0,0,40,1,40,41,4,7111,1,1,2,2,2,"Northeastern",1352,225
1682,1,NA,3,1,2,2,NA,NA,5,5,NA,2,NA,4,8,9,3,1,2,NA,NA,8,1,"6666",2,"RU","EST","000",2,89,NA,5,5,323,11,6,NA,1989,1,NA,1,3,2,NA,4,2,40,1,40,10,3,9329,2,2,NA,NA,2,"North",501,250
1761,5,20,2,1,3,2,NA,NA,5,7,8,6,7,9,8,8,2,1,3,NA,NA,10,1,"6666",1,"6666","EST","RUS",2,60,1,NA,1,710,16,1,NA,NA,1,NA,1,4,2,NA,9,6,20,1,20,85,1,2341,2,2,NA,NA,2,"North",1438,719
1786,5,30,4,3,NA,2,NA,NA,5,8,2,2,2,7,5,10,2,1,3,NA,NA,5,2,"RU",2,"RU","RUS","999",1,49,1,NA,3,323,11,1,NA,NA,1,NA,1,4,2,NA,0,0,40,1,48,25,4,7212,2,2,NA,NA,3,"Northeastern",1224,408
1824,5,300,2,1,4,1,4,1,3,10,8,8,8,6,5,8,3,1,2,NA,NA,NA,1,"6666",1,"6666","EST","000",1,72,1,NA,1,800,20,6,NA,2016,1,NA,1,3,1,7,10,10,NA,2,NA,85,2,2310,2,2,NA,NA,2,"North",2189,730
1826,1,NA,3,1,3,2,NA,NA,3,6,5,3,4,7,2,8,3,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,50,NA,4,5,313,13,1,NA,NA,1,NA,1,2,2,NA,3,3,40,1,40,85,2,9112,2,2,NA,NA,3,"North",1002,250
1857,5,60,3,3,NA,1,2,3,5,10,8,9,7,8,6,10,2,1,3,NA,NA,6,2,"RU",1,"6666","RUS","000",1,30,1,NA,3,323,12,1,NA,NA,1,NA,1,2,2,NA,5,0,40,1,55,41,4,7111,1,2,NA,NA,3,"North",2145,715
1885,4,60,2,1,2,1,2,2,5,8,8,6,6,9,8,5,3,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",1,65,1,NA,4,323,12,6,NA,2016,1,NA,1,3,2,NA,5,1,40,1,41,16,4,4321,2,1,2,2,2,"North",1152,576
1917,5,300,4,1,1,1,1,3,5,10,7,7,8,9,6,10,3,2,NA,1,3,5,1,"6666",1,"6666","RUS","000",1,30,NA,6,1,313,12,3,NA,2018,1,NA,1,1,2,NA,8,8,40,1,40,10,4,7512,2,1,1,1,3,"North",457,226
1978,5,180,3,2,NA,2,NA,NA,5,3,1,3,8,7,2,3,2,2,NA,2,NA,1,1,"6666",2,"KZ","RUS","KAZ",2,62,6,NA,3,313,10,4,NA,2018,1,NA,1,4,2,NA,2,2,168,1,168,31,4,9321,2,2,NA,NA,3,"Central",33,33
1980,5,240,3,3,NA,2,NA,NA,NA,10,10,10,8,10,0,10,3,2,NA,2,NA,5,2,"6500",1,"6666","RUS","000",2,33,3,1,1,313,12,1,NA,NA,1,NA,2,1,1,3,10,0,40,1,40,56,4,5120,2,1,2,1,3,"North",1707,427
2007,1,NA,3,1,2,2,NA,NA,NA,9,6,6,6,6,10,6,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,81,1,NA,3,113,5,6,NA,2014,1,NA,1,1,2,NA,5,0,40,1,40,49,4,8332,2,2,NA,NA,3,"Western",1252,626
2060,1,NA,2,1,2,1,2,2,5,10,5,3,3,9,3,5,3,1,2,NA,NA,3,1,"6666",1,"6666","EST","000",2,69,1,NA,3,720,16,6,NA,2010,1,NA,1,4,1,450,8,7,40,1,40,70,3,1321,2,2,NA,NA,2,"Southern",1155,578
2093,5,120,2,2,NA,2,NA,NA,5,7,6,6,5,7,5,7,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",1,53,1,NA,5,423,15,1,NA,NA,1,NA,1,2,1,5,5,7,40,1,40,35,3,3341,2,2,NA,NA,3,"Central",1818,909
2156,4,120,4,3,NA,2,NA,NA,NA,10,5,7,10,10,8,10,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,16,NA,6,3,113,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Southern",1975,0
2198,5,300,3,2,NA,2,NA,NA,5,8,5,3,4,8,6,8,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,26,NA,6,4,213,16,NA,NA,NA,2,0,NA,1,2,NA,10,10,30,1,30,93,4,NA,2,2,NA,NA,3,"Western",3916.16612296076,NA
2260,5,120,2,3,NA,1,2,2,0,10,0,0,2,5,4,10,2,1,3,NA,NA,5,2,"RU",1,"6666","RUS","000",1,36,1,NA,1,423,13,1,NA,NA,1,NA,1,5,2,NA,10,0,48,1,48,35,3,3131,2,2,NA,NA,1,"Northeastern",1971,493
2279,5,180,3,3,NA,1,6,3,5,9,3,3,1,7,7,8,1,1,7,NA,NA,4,1,"6666",1,"6666","EST","000",1,17,NA,6,4,213,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"North",3286.7520772852,0
2305,1,NA,4,2,NA,2,NA,NA,NA,7,5,1,1,10,9,7,4,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,83,NA,4,3,113,6,6,NA,1988,1,NA,1,3,2,NA,0,0,40,1,40,1,1,6121,2,2,NA,NA,3,"Southern",470,470
2352,5,600,1,1,3,1,1,2,5,7,6,6,9,7,4,6,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,63,3,6,2,720,20,1,NA,NA,1,NA,1,4,1,2,9,1,40,1,45,84,1,2422,2,2,NA,NA,2,"North",4593.86138423326,1531
2505,1,NA,3,2,NA,2,NA,NA,5,3,3,3,3,4,3,3,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,72,6,NA,3,213,8,6,NA,1998,1,NA,1,2,2,NA,7,1,40,1,60,33,1,8332,2,2,NA,NA,2,"Western",869,434
2520,5,120,2,2,NA,2,NA,NA,6,3,5,3,6,6,6,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,57,NA,6,3,229,10,3,NA,2018,1,NA,3,1,2,NA,1,0,30,1,30,81,4,9214,2,1,1,1,NA,"Central",266,266
2595,1,NA,2,3,NA,1,2,2,5,6,5,6,7,4,3,7,3,1,3,NA,NA,6,2,"6500",2,"RU","RUS","000",2,80,NA,5,1,720,15,6,NA,2004,1,NA,1,5,1,32,8,8,40,1,40,16,4,1211,2,2,NA,NA,2,"North",684,684
2605,1,NA,3,1,1,2,NA,NA,NA,5,5,5,5,5,3,5,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,69,1,NA,4,323,11,6,NA,2000,1,NA,1,2,2,NA,0,0,40,1,40,84,1,8182,2,2,NA,NA,2,"Southern",911,456
2608,5,720,3,1,4,2,NA,NA,5,9,10,1,3,8,6,5,1,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",1,37,1,NA,1,323,13,1,NA,NA,1,NA,1,4,1,14,10,2,50,1,50,52,4,4323,2,2,NA,NA,3,"North",260,65
2747,5,120,3,3,NA,2,NA,NA,5,9,7,7,7,7,5,9,2,2,NA,2,NA,0,2,"6500",2,"BY","RUS","BEL",2,53,3,6,1,323,13,1,NA,NA,1,NA,1,4,2,NA,2,2,40,1,40,29,4,8212,2,1,2,2,2,"North",848,424
2773,5,360,2,1,11,1,13,2,6,7,4,3,5,6,4,8,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",1,42,3,6,3,313,20,1,NA,NA,2,2,NA,1,1,3,10,10,40,1,45,70,4,1213,2,2,NA,NA,3,"Southern",2442,610
2836,5,60,2,1,2,2,NA,NA,9,9,2,1,1,7,8,9,3,1,3,NA,NA,7,2,"6500",2,"BY","RUS","GER",1,62,1,NA,3,610,16,6,NA,2000,1,NA,1,3,2,NA,0,0,40,1,40,31,4,8172,2,1,1,1,2,"Western",265,132
2875,5,480,1,1,4,1,4,1,3,7,7,5,7,4,4,7,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,38,1,NA,1,720,27,1,NA,NA,1,NA,1,5,1,7,8,4,40,1,42,85,2,3343,2,2,NA,NA,3,"North",1905,476
2896,5,120,2,1,2,1,2,3,5,7,0,1,5,3,6,5,3,1,3,NA,NA,7,1,"6666",2,"CN","RUS","000",1,72,NA,5,1,610,14,6,NA,NA,1,NA,1,5,1,4,0,0,48,1,48,35,3,3131,2,2,NA,NA,2,"Northeastern",434,434
2924,1,NA,2,3,NA,1,NA,NA,5,8,8,8,8,9,7,9,3,2,NA,1,3,5,2,"6500",2,"UA","RUS","000",1,65,1,NA,1,520,11,6,NA,2017,1,NA,1,1,2,NA,10,6,40,1,48,41,4,7111,2,2,NA,NA,2,"North",1419,710
2946,5,180,2,3,NA,1,2,3,4,7,7,8,8,2,2,7,3,2,NA,2,NA,2,2,"RU",2,"RU","RUS","000",2,68,NA,4,1,423,11,1,NA,NA,1,NA,1,5,2,NA,3,0,20,1,20,86,2,3221,2,2,NA,NA,2,"North",767,767
3064,5,120,3,1,4,2,NA,NA,4,7,5,4,3,5,4,7,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",2,67,1,NA,3,720,16,1,NA,NA,1,NA,1,3,2,NA,10,3,35,1,30,85,1,2266,2,2,NA,NA,1,"Western",2014,1007
3065,5,60,3,1,1,2,NA,NA,5,7,5,7,8,10,7,10,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,49,1,NA,3,313,11,1,NA,NA,1,NA,1,4,2,NA,8,0,40,1,40,18,4,7322,2,2,NA,NA,3,"North",2746,686
3131,5,420,2,1,1,1,1,3,9,9,4,3,3,8,3,8,2,1,3,NA,NA,8,1,"6666",1,"6666","EST","000",1,36,1,NA,2,313,28,1,NA,NA,2,5,NA,1,1,5,9,10,40,1,40,68,4,1219,1,2,NA,NA,3,"Southern",2379,595
3152,5,540,3,2,NA,2,NA,NA,5,5,4,5,5,9,5,6,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","FIN",2,54,3,6,4,720,16,1,NA,NA,1,NA,1,1,1,1,8,2,40,1,40,47,4,2262,2,2,NA,NA,3,"Southern",1417,472
3165,5,120,3,1,1,2,NA,NA,5,7,6,5,6,7,7,9,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,28,NA,6,4,213,13,1,NA,NA,1,NA,1,4,2,NA,6,0,40,1,40,52,4,8344,2,2,NA,NA,3,"Central",1784,595
3244,2,NA,2,1,4,1,4,2,5,8,5,5,5,8,7,7,2,2,NA,2,NA,7,1,"6666",1,"6666","EST","000",2,77,1,NA,3,720,21,6,NA,2016,1,NA,1,3,2,NA,8,7,40,1,40,86,2,2211,2,2,NA,NA,2,"Southern",1555,778
3271,5,180,1,1,6,1,6,1,NA,0,5,2,2,10,1,4,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,51,3,4,3,313,11,5,NA,2017,1,NA,2,1,2,NA,NA,0,40,1,40,24,4,8121,1,1,1,1,3,"Southern",1233,386
3307,2,NA,3,3,NA,1,2,3,NA,5,NA,3,2,3,3,5,3,1,3,NA,NA,5,2,"RU",2,"RU","RUS","000",1,55,4,4,3,423,11,1,NA,NA,1,NA,1,2,2,NA,10,0,40,1,44,45,4,7231,2,1,2,2,2,"North",1213,606
3330,4,60,2,1,3,2,NA,NA,7,10,8,7,7,9,5,10,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,32,1,NA,1,610,15,8,NA,2015,1,NA,3,4,2,NA,9,8,40,1,40,84,1,3412,2,2,NA,NA,3,"North",1986,223
3335,3,NA,3,3,NA,1,2,3,6,8,5,6,3,3,4,7,3,2,NA,2,NA,3,2,"6500",2,"UA","RUS","000",1,82,1,NA,1,313,10,6,NA,2008,1,NA,1,3,2,NA,6,2,40,1,40,41,4,7131,2,2,NA,NA,2,"North",1209,604
3345,5,180,2,1,2,1,2,3,3,8,5,5,3,9,3,9,2,1,3,NA,NA,9,1,"6666",1,"6666","RUS","000",2,35,1,NA,1,313,15,1,NA,NA,1,NA,1,1,2,NA,10,0,40,1,40,47,4,5223,2,1,2,2,3,"North",1786,446
3386,3,NA,2,2,NA,1,2,2,1,10,2,0,2,7,10,10,3,1,3,NA,NA,10,1,"6666",1,"6666","RUS","000",1,50,NA,4,1,423,11,3,NA,2008,1,NA,1,1,2,NA,10,0,20,1,20,53,4,4412,2,1,1,1,2,"North",174,174
3427,1,NA,3,1,2,1,2,2,3,5,5,6,7,5,8,5,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,89,NA,5,1,323,10,6,NA,1981,1,NA,1,2,2,NA,5,3,20,1,20,58,1,1349,2,2,NA,NA,2,"North",1789,1789
3438,5,60,3,1,4,1,4,2,5,7,6,5,5,8,6,7,2,2,NA,2,NA,6,1,"6666",1,"6666","EST","ITA",2,24,3,6,1,620,17,1,NA,NA,1,NA,1,2,2,NA,9,5,35,1,35,85,2,2354,1,2,NA,NA,3,"North",2395,1198
3491,1,NA,2,1,NA,1,2,1,5,7,3,5,6,5,9,7,4,1,3,NA,NA,10,1,"6666",1,"6666","RUS","000",2,75,1,NA,1,323,14,6,NA,2010,1,NA,1,4,2,NA,0,0,40,1,40,20,4,4321,2,2,NA,NA,2,"Northeastern",919,460
3504,1,NA,2,3,NA,1,2,2,1,6,7,8,10,3,2,6,3,1,3,NA,NA,6,2,"RU",2,"RU","RUS","000",1,77,NA,5,1,313,10,6,NA,1999,1,NA,1,4,1,20,10,0,40,1,40,24,1,3122,2,2,NA,NA,2,"North",419,419
3636,5,300,3,3,NA,2,NA,NA,10,8,6,3,5,8,6,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,20,NA,6,4,313,12,2,NA,2018,1,NA,2,1,2,NA,3,0,NA,2,20,47,4,5223,2,2,NA,NA,3,"Southern",2525,0
3649,1,NA,2,1,2,2,NA,NA,5,8,3,3,6,3,3,8,4,1,3,NA,NA,6,1,"6666",2,"RU","RUS","000",2,77,NA,5,3,720,23,6,NA,1992,1,NA,1,3,2,NA,4,2,35,1,35,85,2,2330,2,2,NA,NA,2,"Northeastern",327,327
3708,5,120,3,1,2,1,2,3,5,8,6,4,6,2,4,8,3,1,3,NA,NA,7,1,"6666",1,"6666","RUS","000",2,35,1,NA,4,620,15,8,NA,NA,3,NA,2,1,1,3,10,10,24,1,168,85,6,3412,2,1,2,2,3,"North",2491,343
3713,3,NA,3,1,2,1,2,2,5,8,4,3,4,2,5,8,3,2,NA,2,NA,5,2,"6500",1,"6666","RUS","000",2,57,1,NA,1,710,16,1,NA,NA,1,NA,1,4,2,NA,6,5,45,1,45,56,4,5120,2,1,1,1,2,"North",1352,676
3776,5,180,3,1,11,2,NA,NA,6,7,6,6,7,9,1,7,3,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,35,3,6,4,520,16,8,NA,2016,1,NA,1,2,2,NA,5,2,40,1,40,NA,4,3322,2,2,NA,NA,3,"North",1848,264
3829,1,NA,3,3,NA,2,NA,NA,0,2,0,0,10,7,0,2,3,2,NA,2,NA,5,2,"RU",1,"6666","RUS","000",1,50,NA,4,4,323,11,1,NA,NA,1,NA,1,2,2,NA,10,10,40,1,40,41,4,7111,2,1,1,2,2,"North",708,354
