"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
61392,5,420,3,1,1,1,1,1,10,9,9,4,5,9,8,9,3,2,NA,1,8,9,1,"6666",1,"6666","EST","000",1,49,3,6,4,620,16,1,NA,NA,1,NA,1,3,2,NA,8,9,42,1,42,85,1,2354,2,2,NA,NA,1,"Central",2298,1149
61416,2,NA,4,1,2,2,NA,NA,NA,5,5,0,NA,2,2,5,4,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,60,NA,6,5,323,13,1,NA,NA,1,NA,1,2,2,NA,0,0,40,1,40,16,4,9329,2,2,NA,NA,3,"Southern",436,436
61438,5,180,3,1,4,2,NA,NA,7,8,7,7,7,7,4,8,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,40,3,6,4,620,16,1,NA,NA,1,NA,1,3,2,NA,8,1,21,1,21,85,1,2341,2,1,2,2,3,"North",1297,324
61581,4,240,2,1,1,2,NA,NA,5,4,5,5,7,5,7,5,4,1,3,NA,NA,8,1,"6666",1,"6666","RUS","SWE",1,64,3,4,1,323,12,5,NA,2001,1,NA,1,3,1,20,10,0,40,1,40,47,4,4226,2,2,NA,NA,2,"North",334,334
61586,1,NA,3,1,1,2,NA,NA,NA,8,5,5,5,6,9,8,2,1,2,NA,NA,5,1,"6666",1,"6666","EST","000",2,74,1,NA,4,213,7,1,NA,NA,1,NA,1,1,2,NA,10,0,40,1,40,84,1,9214,2,2,NA,NA,2,"Western",995,498
61624,5,120,3,1,2,2,NA,NA,5,8,4,4,4,5,4,8,2,1,3,NA,NA,6,1,"6666",1,"6666","RUS","000",2,29,1,NA,1,620,15,1,NA,NA,1,NA,1,4,2,NA,8,3,40,1,40,85,1,2341,2,2,NA,NA,1,"North",2431,486
61685,5,120,3,1,3,1,6,3,7,8,3,4,5,8,7,10,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,29,1,NA,4,313,13,8,NA,2015,1,NA,1,4,2,NA,6,7,50,1,50,10,4,3512,2,1,2,2,3,"Central",3569.13478253409,185
61743,5,720,4,1,10,2,NA,NA,NA,8,7,6,7,8,5,8,2,1,2,NA,NA,5,1,"6666",1,"6666","EST","000",2,37,NA,6,3,323,12,1,NA,NA,1,NA,1,1,2,NA,5,5,40,1,40,59,4,3343,2,2,NA,NA,3,"North",1011,337
61769,5,300,2,1,5,2,NA,NA,6,8,5,4,7,4,4,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,29,3,6,3,423,15,1,NA,NA,1,NA,1,2,1,15,9,8,40,1,43,93,4,3332,1,2,NA,NA,3,"North",2154,1077
61781,1,NA,2,1,3,2,NA,NA,5,10,7,7,5,8,10,10,2,1,2,NA,NA,3,1,"6666",1,"6666","EST","000",2,70,1,NA,4,313,11,6,NA,2009,1,NA,1,NA,2,NA,5,0,40,1,40,47,4,5230,2,2,NA,NA,3,"Southern",758,379
